S/N,State,Hospital Name,Disease,Total Visits,Reported Cases,Month,Year,Date
7471,Bayelsa,FMC Yenagoa - Federal Medical Centre,Typhoid,21097,6519,October,2019,"Tuesday, October 1, 2019"
7472,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,69721,11276,July,2019,"Monday, July 1, 2019"
7473,Plateau,JUTH - Jos University Teaching Hospital,Cholera,25580,10107,January,2019,"Tuesday, January 1, 2019"
7474,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,10420,597,November,2004,"Monday, November 1, 2004"
7475,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,46069,19619,August,2003,"Friday, August 1, 2003"
7476,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,78383,27956,December,2016,"Thursday, December 1, 2016"
7477,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,76835,2721,January,2015,"Thursday, January 1, 2015"
7478,Lagos,LASUTH - Lagos State University Teaching Hospital,Lassa Fever,59486,22323,February,2011,"Tuesday, February 1, 2011"
7479,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,28080,12091,February,2008,"Friday, February 1, 2008"
7480,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Measles,47626,3295,August,2001,"Wednesday, August 1, 2001"
7481,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,63134,21050,July,2021,"Thursday, July 1, 2021"
7482,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,29515,1535,December,2024,"Sunday, December 1, 2024"
7483,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,62648,4814,July,2024,"Monday, July 1, 2024"
7484,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Malaria,14827,3690,October,2024,"Tuesday, October 1, 2024"
7485,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,50675,14896,September,2022,"Thursday, September 1, 2022"
7486,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,61790,6990,April,2018,"Sunday, April 1, 2018"
7487,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,23923,9022,April,2013,"Monday, April 1, 2013"
7488,Delta,DELTA FMC - Federal Medical Centre Asaba,Tuberculosis,69842,26167,September,2012,"Saturday, September 1, 2012"
7489,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,47168,10122,March,2005,"Tuesday, March 1, 2005"
7490,Kogi,FMC Lokoja - Federal Medical Centre,Cholera,21733,1533,November,2017,"Wednesday, November 1, 2017"
7491,Plateau,JUTH - Jos University Teaching Hospital,Malaria,68161,1552,May,2008,"Thursday, May 1, 2008"
7492,Enugu,UNTH - University of Nigeria Teaching Hospital,Malaria,17655,3471,January,2017,"Sunday, January 1, 2017"
7493,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Measles,45877,14707,March,2010,"Monday, March 1, 2010"
7494,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,36984,11072,June,2019,"Saturday, June 1, 2019"
7495,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,5397,541,January,2006,"Sunday, January 1, 2006"
7496,Imo,FMC Owerri - Federal Medical Centre,Measles,59054,25687,September,2021,"Wednesday, September 1, 2021"
7497,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,36126,11149,June,2021,"Tuesday, June 1, 2021"
7498,Abia,FMC Umuahia - Federal Medical Centre,Cholera,42127,2557,December,2007,"Saturday, December 1, 2007"
7499,Imo,FMC Owerri - Federal Medical Centre,Tuberculosis,1722,792,October,2010,"Friday, October 1, 2010"
7500,Plateau,BUTH - Bingham University Teaching Hospital,Cholera,17347,668,January,2018,"Monday, January 1, 2018"
7501,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,49194,14215,June,2008,"Sunday, June 1, 2008"
7502,Enugu,UNTH - University of Nigeria Teaching Hospital,Typhoid,41970,15928,April,2018,"Sunday, April 1, 2018"
7503,Delta,DELTA FMC - Federal Medical Centre Asaba,Lassa Fever,78180,26745,March,2009,"Sunday, March 1, 2009"
7504,Abia,FMC Umuahia - Federal Medical Centre,Measles,59234,5787,February,2012,"Wednesday, February 1, 2012"
7505,Plateau,BUTH - Bingham University Teaching Hospital,Malaria,68784,15526,February,2000,"Tuesday, February 1, 2000"
7506,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,6090,2130,April,2021,"Thursday, April 1, 2021"
7507,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,49264,20303,January,2001,"Monday, January 1, 2001"
7508,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,34086,8070,March,2001,"Thursday, March 1, 2001"
7509,Bayelsa,FMC Yenagoa - Federal Medical Centre,Measles,5961,1559,July,2016,"Friday, July 1, 2016"
7510,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Malaria,26160,11877,August,2005,"Monday, August 1, 2005"
7511,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Tuberculosis,63796,20916,August,2017,"Tuesday, August 1, 2017"
7512,Plateau,JUTH - Jos University Teaching Hospital,Lassa Fever,54872,6571,February,2024,"Thursday, February 1, 2024"
7513,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,39047,16804,November,2006,"Wednesday, November 1, 2006"
7514,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Malaria,37860,12477,September,2023,"Friday, September 1, 2023"
7515,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,37214,4154,May,2011,"Sunday, May 1, 2011"
7516,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,18619,1059,April,2006,"Saturday, April 1, 2006"
7517,Enugu,UNTH - University of Nigeria Teaching Hospital,Measles,79614,2057,July,2021,"Thursday, July 1, 2021"
7518,Edo,UBTH - University of Benin Teaching Hospital,Typhoid,42594,1136,June,2008,"Sunday, June 1, 2008"
7519,Nasarawa,FMC Keffi - Federal Medical Centre,Malaria,72269,30733,January,2015,"Thursday, January 1, 2015"
7520,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,75980,1273,October,2003,"Wednesday, October 1, 2003"
7521,Nasarawa,FMC Keffi - Federal Medical Centre,Malaria,40019,10961,May,2010,"Saturday, May 1, 2010"
7522,Kogi,FMC Lokoja - Federal Medical Centre,Cholera,63411,14698,March,2002,"Friday, March 1, 2002"
7523,Plateau,BUTH - Bingham University Teaching Hospital,Malaria,36977,8252,December,2000,"Friday, December 1, 2000"
7524,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,61920,19929,February,2014,"Saturday, February 1, 2014"
7525,Plateau,JUTH - Jos University Teaching Hospital,Typhoid,73749,12498,April,2011,"Friday, April 1, 2011"
7526,Plateau,JUTH - Jos University Teaching Hospital,Malaria,10646,314,November,2020,"Sunday, November 1, 2020"
7527,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,12354,3000,August,2020,"Saturday, August 1, 2020"
7528,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Tuberculosis,79303,19792,January,2014,"Wednesday, January 1, 2014"
7529,Lagos,LASUTH - Lagos State University Teaching Hospital,Tuberculosis,55195,2549,October,2001,"Monday, October 1, 2001"
7530,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,65250,3260,October,2015,"Thursday, October 1, 2015"
7531,Oyo,"UCH - University College Hospital, Ibadan",Malaria,20369,8152,April,2004,"Thursday, April 1, 2004"
7532,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Typhoid,52656,17249,June,2016,"Wednesday, June 1, 2016"
7533,Imo,FMC Owerri - Federal Medical Centre,Malaria,21254,7676,December,2011,"Thursday, December 1, 2011"
7534,Lagos,LASUTH - Lagos State University Teaching Hospital,Typhoid,25960,11390,June,2002,"Saturday, June 1, 2002"
7535,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,66986,29783,January,2006,"Sunday, January 1, 2006"
7536,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Lassa Fever,55173,5693,July,2002,"Monday, July 1, 2002"
7537,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,18518,1533,March,2007,"Thursday, March 1, 2007"
7538,Kogi,FMC Lokoja - Federal Medical Centre,Typhoid,28874,4147,March,2008,"Saturday, March 1, 2008"
7539,Nasarawa,FMC Keffi - Federal Medical Centre,Lassa Fever,33585,4593,February,2011,"Tuesday, February 1, 2011"
7540,Lagos,LASUTH - Lagos State University Teaching Hospital,Measles,65124,13830,October,2003,"Wednesday, October 1, 2003"
7541,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,4450,1744,December,2011,"Thursday, December 1, 2011"
7542,Abia,FMC Umuahia - Federal Medical Centre,Measles,6782,2787,June,2002,"Saturday, June 1, 2002"
7543,Bayelsa,FMC Yenagoa - Federal Medical Centre,Typhoid,26742,12552,May,2009,"Friday, May 1, 2009"
7544,Kogi,FMC Lokoja - Federal Medical Centre,Malaria,55322,16834,October,2000,"Sunday, October 1, 2000"
7545,Edo,UBTH - University of Benin Teaching Hospital,Malaria,48814,3960,October,2010,"Friday, October 1, 2010"
7546,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,36013,8999,December,2021,"Wednesday, December 1, 2021"
7547,Bayelsa,FMC Yenagoa - Federal Medical Centre,Measles,10632,3725,January,2001,"Monday, January 1, 2001"
7548,Abia,FMC Umuahia - Federal Medical Centre,Cholera,67142,32805,April,2008,"Tuesday, April 1, 2008"
7549,Bayelsa,FMC Yenagoa - Federal Medical Centre,Typhoid,75562,23436,September,2006,"Friday, September 1, 2006"
7550,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Measles,12269,5996,November,2013,"Friday, November 1, 2013"
7551,Lagos,LUTH - Lagos University Teaching Hospital,Measles,43049,9187,November,2001,"Thursday, November 1, 2001"
7552,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Measles,59555,11218,September,2003,"Monday, September 1, 2003"
7553,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,13092,654,March,2010,"Monday, March 1, 2010"
7554,Bayelsa,FMC Yenagoa - Federal Medical Centre,Tuberculosis,51074,16116,May,2000,"Monday, May 1, 2000"
7555,Delta,DELTA FMC - Federal Medical Centre Asaba,Cholera,21808,2647,November,2015,"Sunday, November 1, 2015"
7556,Imo,FMC Owerri - Federal Medical Centre,Cholera,18201,2525,August,2009,"Saturday, August 1, 2009"
7557,Imo,FMC Owerri - Federal Medical Centre,Malaria,1922,721,January,2020,"Wednesday, January 1, 2020"
7558,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,70268,1599,June,2022,"Wednesday, June 1, 2022"
7559,Kogi,FMC Lokoja - Federal Medical Centre,Typhoid,60019,29749,February,2002,"Friday, February 1, 2002"
7560,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,53716,24440,January,2015,"Thursday, January 1, 2015"
7561,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,48911,15579,October,2023,"Sunday, October 1, 2023"
7562,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Cholera,54459,11873,February,2002,"Friday, February 1, 2002"
7563,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Measles,2911,227,August,2009,"Saturday, August 1, 2009"
7564,Oyo,"UCH - University College Hospital, Ibadan",Measles,67138,33196,February,2012,"Wednesday, February 1, 2012"
7565,Edo,UBTH - University of Benin Teaching Hospital,Typhoid,15088,4279,October,2015,"Thursday, October 1, 2015"
7566,Oyo,"UCH - University College Hospital, Ibadan",Measles,17098,1994,September,2004,"Wednesday, September 1, 2004"
7567,Oyo,"UCH - University College Hospital, Ibadan",Malaria,58434,19042,February,2001,"Thursday, February 1, 2001"
7568,Lagos,LASUTH - Lagos State University Teaching Hospital,Typhoid,41075,7083,July,2015,"Wednesday, July 1, 2015"
7569,Abia,FMC Umuahia - Federal Medical Centre,Tuberculosis,22168,558,June,2016,"Wednesday, June 1, 2016"
7570,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Malaria,7739,1011,October,2008,"Wednesday, October 1, 2008"
7571,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Tuberculosis,35170,9542,February,2005,"Tuesday, February 1, 2005"
7572,Edo,UBTH - University of Benin Teaching Hospital,Cholera,13105,1491,August,2011,"Monday, August 1, 2011"
7573,Lagos,LUTH - Lagos University Teaching Hospital,Lassa Fever,16185,4663,September,2018,"Saturday, September 1, 2018"
7574,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,26656,3701,October,2015,"Thursday, October 1, 2015"
7575,Plateau,BUTH - Bingham University Teaching Hospital,Malaria,45054,10117,February,2020,"Saturday, February 1, 2020"
7576,Bayelsa,FMC Yenagoa - Federal Medical Centre,Tuberculosis,6425,1424,September,2016,"Thursday, September 1, 2016"
7577,Bayelsa,FMC Yenagoa - Federal Medical Centre,Malaria,76338,19849,September,2016,"Thursday, September 1, 2016"
7578,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Typhoid,21793,8073,January,2018,"Monday, January 1, 2018"
7579,Plateau,JUTH - Jos University Teaching Hospital,Measles,36736,1120,June,2005,"Wednesday, June 1, 2005"
7580,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Malaria,70078,6309,January,2022,"Saturday, January 1, 2022"
7581,Lagos,LASUTH - Lagos State University Teaching Hospital,Lassa Fever,31005,7386,February,2024,"Thursday, February 1, 2024"
7582,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Typhoid,2894,1358,December,2001,"Saturday, December 1, 2001"
7583,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Lassa Fever,7543,211,August,2014,"Friday, August 1, 2014"
7584,Edo,UBTH - University of Benin Teaching Hospital,Lassa Fever,13315,3423,June,2017,"Thursday, June 1, 2017"
7585,Bayelsa,FMC Yenagoa - Federal Medical Centre,Cholera,60437,7082,July,2004,"Thursday, July 1, 2004"
7586,Bayelsa,FMC Yenagoa - Federal Medical Centre,Cholera,7971,1153,January,2004,"Thursday, January 1, 2004"
7587,Edo,UBTH - University of Benin Teaching Hospital,Malaria,51427,14496,August,2002,"Thursday, August 1, 2002"
7588,Nasarawa,FMC Keffi - Federal Medical Centre,Tuberculosis,30126,14635,June,2016,"Wednesday, June 1, 2016"
7589,Delta,DELTA FMC - Federal Medical Centre Asaba,Lassa Fever,8032,3440,September,2023,"Friday, September 1, 2023"
7590,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Cholera,79300,26445,April,2000,"Saturday, April 1, 2000"
7591,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,57457,9753,December,2019,"Sunday, December 1, 2019"
7592,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,62598,1991,June,2012,"Friday, June 1, 2012"
7593,Abia,FMC Umuahia - Federal Medical Centre,Lassa Fever,17589,5267,September,2001,"Saturday, September 1, 2001"
7594,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,64624,2920,June,2010,"Tuesday, June 1, 2010"
7595,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Measles,16357,2962,January,2020,"Wednesday, January 1, 2020"
7596,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Lassa Fever,52233,13044,July,2024,"Monday, July 1, 2024"
7597,Plateau,BUTH - Bingham University Teaching Hospital,Tuberculosis,50839,12426,February,2011,"Tuesday, February 1, 2011"
7598,Nasarawa,FMC Keffi - Federal Medical Centre,Lassa Fever,63137,12313,October,2020,"Thursday, October 1, 2020"
7599,Plateau,BUTH - Bingham University Teaching Hospital,Measles,58398,12032,September,2004,"Wednesday, September 1, 2004"
7600,Edo,UBTH - University of Benin Teaching Hospital,Malaria,48296,8118,August,2021,"Sunday, August 1, 2021"
7601,Kogi,FMC Lokoja - Federal Medical Centre,Tuberculosis,17697,7776,October,2005,"Saturday, October 1, 2005"
7602,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Malaria,29049,10939,August,2010,"Sunday, August 1, 2010"
7603,Nasarawa,FMC Keffi - Federal Medical Centre,Malaria,51416,23722,July,2017,"Saturday, July 1, 2017"
7604,Ogun,FMC Abeokuta - Federal Medical Centre,Tuberculosis,59201,6162,June,2006,"Thursday, June 1, 2006"
7605,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,36297,5640,April,2016,"Friday, April 1, 2016"
7606,Lagos,LUTH - Lagos University Teaching Hospital,Cholera,74482,4603,April,2023,"Saturday, April 1, 2023"
7607,Oyo,"UCH - University College Hospital, Ibadan",Malaria,28565,10951,April,2003,"Tuesday, April 1, 2003"
7608,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,77586,31938,August,2008,"Friday, August 1, 2008"
7609,Lagos,LASUTH - Lagos State University Teaching Hospital,Typhoid,71283,6768,August,2015,"Saturday, August 1, 2015"
7610,Bayelsa,FMC Yenagoa - Federal Medical Centre,Lassa Fever,36782,2679,January,2001,"Monday, January 1, 2001"
7611,Bayelsa,FMC Yenagoa - Federal Medical Centre,Cholera,19641,7038,May,2008,"Thursday, May 1, 2008"
7612,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Tuberculosis,52400,3271,April,2014,"Tuesday, April 1, 2014"
7613,Bayelsa,FMC Yenagoa - Federal Medical Centre,Measles,70250,17961,March,2012,"Thursday, March 1, 2012"
7614,Ogun,FMC Abeokuta - Federal Medical Centre,Tuberculosis,31756,9395,January,2017,"Sunday, January 1, 2017"
7615,Imo,FMC Owerri - Federal Medical Centre,Tuberculosis,35696,6796,February,2019,"Friday, February 1, 2019"
7616,Lagos,LASUTH - Lagos State University Teaching Hospital,Measles,1884,932,October,2003,"Wednesday, October 1, 2003"
7617,Oyo,"UCH - University College Hospital, Ibadan",Malaria,21608,410,April,2012,"Sunday, April 1, 2012"
7618,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,34490,12552,September,2017,"Friday, September 1, 2017"
7619,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,50901,5707,March,2024,"Friday, March 1, 2024"
7620,Bayelsa,FMC Yenagoa - Federal Medical Centre,Tuberculosis,42579,4809,February,2006,"Wednesday, February 1, 2006"
7621,Imo,FMC Owerri - Federal Medical Centre,Measles,63565,15289,August,2015,"Saturday, August 1, 2015"
7622,Nasarawa,FMC Keffi - Federal Medical Centre,Typhoid,15004,1227,March,2007,"Thursday, March 1, 2007"
7623,Ogun,FMC Abeokuta - Federal Medical Centre,Cholera,21165,5891,May,2016,"Sunday, May 1, 2016"
7624,Imo,FMC Owerri - Federal Medical Centre,Tuberculosis,32565,4927,October,2021,"Friday, October 1, 2021"
7625,Lagos,LASUTH - Lagos State University Teaching Hospital,Tuberculosis,36480,5921,April,2019,"Monday, April 1, 2019"
7626,Plateau,BUTH - Bingham University Teaching Hospital,Lassa Fever,54000,3388,April,2007,"Sunday, April 1, 2007"
7627,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Measles,36407,15887,May,2005,"Sunday, May 1, 2005"
7628,Plateau,JUTH - Jos University Teaching Hospital,Lassa Fever,75080,16516,August,2024,"Thursday, August 1, 2024"
7629,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,3071,702,February,2007,"Thursday, February 1, 2007"
7630,Enugu,UNTH - University of Nigeria Teaching Hospital,Tuberculosis,70905,22875,July,2002,"Monday, July 1, 2002"
7631,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,47104,12610,July,2024,"Monday, July 1, 2024"
7632,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Malaria,21328,10482,September,2010,"Wednesday, September 1, 2010"
7633,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,73047,9601,February,2018,"Thursday, February 1, 2018"
7634,Plateau,JUTH - Jos University Teaching Hospital,Malaria,6643,3143,January,2022,"Saturday, January 1, 2022"
7635,Lagos,LUTH - Lagos University Teaching Hospital,Tuberculosis,46190,10575,May,2005,"Sunday, May 1, 2005"
7636,Kogi,FMC Lokoja - Federal Medical Centre,Measles,17670,3754,July,2011,"Friday, July 1, 2011"
7637,Imo,FMC Owerri - Federal Medical Centre,Measles,49242,9382,June,2024,"Saturday, June 1, 2024"
7638,Bayelsa,FMC Yenagoa - Federal Medical Centre,Cholera,31867,1330,July,2015,"Wednesday, July 1, 2015"
7639,Ogun,FMC Abeokuta - Federal Medical Centre,Lassa Fever,31059,2361,February,2007,"Thursday, February 1, 2007"
7640,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,12391,2324,September,2020,"Tuesday, September 1, 2020"
7641,Nasarawa,FMC Keffi - Federal Medical Centre,Cholera,20574,9672,May,2002,"Wednesday, May 1, 2002"
7642,Abia,FMC Umuahia - Federal Medical Centre,Typhoid,23754,8576,May,2019,"Wednesday, May 1, 2019"
7643,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Tuberculosis,34781,6611,September,2005,"Thursday, September 1, 2005"
7644,Enugu,UNTH - University of Nigeria Teaching Hospital,Measles,50887,12121,August,2001,"Wednesday, August 1, 2001"
7645,Enugu,UNTH - University of Nigeria Teaching Hospital,Measles,22244,9471,July,2015,"Wednesday, July 1, 2015"
7646,Ogun,FMC Abeokuta - Federal Medical Centre,Malaria,60113,9367,August,2006,"Tuesday, August 1, 2006"
7647,Imo,FMC Owerri - Federal Medical Centre,Malaria,59140,2059,September,2003,"Monday, September 1, 2003"
7648,Imo,FMC Owerri - Federal Medical Centre,Cholera,5997,1124,September,2001,"Saturday, September 1, 2001"
7649,Plateau,JUTH - Jos University Teaching Hospital,Measles,65078,19426,September,2014,"Monday, September 1, 2014"
7650,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,37552,3212,April,2018,"Sunday, April 1, 2018"
7651,Delta,DELTA FMC - Federal Medical Centre Asaba,Typhoid,27588,5983,February,2012,"Wednesday, February 1, 2012"
7652,Imo,FMC Owerri - Federal Medical Centre,Cholera,49599,12274,June,2013,"Saturday, June 1, 2013"
7653,Plateau,BUTH - Bingham University Teaching Hospital,Lassa Fever,61578,27479,March,2005,"Tuesday, March 1, 2005"
7654,Plateau,JUTH - Jos University Teaching Hospital,Malaria,67087,22651,August,2024,"Thursday, August 1, 2024"
7655,Delta,DELTA FMC - Federal Medical Centre Asaba,Cholera,74115,7061,January,2017,"Sunday, January 1, 2017"
7656,Plateau,BUTH - Bingham University Teaching Hospital,Measles,32594,5443,February,2005,"Tuesday, February 1, 2005"
7657,Abia,FMC Umuahia - Federal Medical Centre,Measles,71722,8833,April,2013,"Monday, April 1, 2013"
7658,Abia,FMC Umuahia - Federal Medical Centre,Malaria,77652,7536,April,2001,"Sunday, April 1, 2001"
7659,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Measles,12505,5423,December,2000,"Friday, December 1, 2000"
7660,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Cholera,73331,34387,January,2024,"Monday, January 1, 2024"
7661,Oyo,"UCH - University College Hospital, Ibadan",Malaria,40503,531,September,2021,"Wednesday, September 1, 2021"
7662,Lagos,LUTH - Lagos University Teaching Hospital,Measles,3552,469,March,2003,"Saturday, March 1, 2003"
7663,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,48041,4802,November,2021,"Monday, November 1, 2021"
7664,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Measles,56838,15275,February,2024,"Thursday, February 1, 2024"
7665,Delta,DELTA FMC - Federal Medical Centre Asaba,Typhoid,41528,7342,December,2019,"Sunday, December 1, 2019"
7666,Plateau,BUTH - Bingham University Teaching Hospital,Malaria,64742,765,September,2021,"Wednesday, September 1, 2021"
7667,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Cholera,78956,32975,November,2013,"Friday, November 1, 2013"
7668,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Lassa Fever,69429,15444,November,2006,"Wednesday, November 1, 2006"
7669,Oyo,"UCH - University College Hospital, Ibadan",Measles,22514,9765,June,2000,"Thursday, June 1, 2000"
7670,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,10233,1906,June,2014,"Sunday, June 1, 2014"
7671,Ekiti,ABUADTH - Afe Babalola University Teaching Hospital,Measles,49581,9149,January,2021,"Friday, January 1, 2021"
7672,Plateau,BUTH - Bingham University Teaching Hospital,Measles,57748,24635,April,2018,"Sunday, April 1, 2018"
7673,Kaduna,ABUTH - Ahmadu Bello University Teaching Hospital,Cholera,16418,5093,November,2008,"Saturday, November 1, 2008"
7674,Delta,DELTA FMC - Federal Medical Centre Asaba,Typhoid,45019,4240,March,2019,"Friday, March 1, 2019"
7675,Ogun,FMC Abeokuta - Federal Medical Centre,Cholera,47623,5822,June,2011,"Wednesday, June 1, 2011"
7676,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Tuberculosis,31507,14302,May,2003,"Thursday, May 1, 2003"
7677,Lagos,LASUTH - Lagos State University Teaching Hospital,Measles,76429,30313,November,2020,"Sunday, November 1, 2020"
7678,Enugu,UNTH - University of Nigeria Teaching Hospital,Measles,20721,4169,June,2003,"Sunday, June 1, 2003"
7679,Oyo,"UCH - University College Hospital, Ibadan",Measles,68010,15299,May,2003,"Thursday, May 1, 2003"
7680,Osun,OAUTHC - Obafemi Awolowo University Teaching Hospitals Complex,Lassa Fever,41201,20191,January,2014,"Wednesday, January 1, 2014"
7681,Edo,UBTH - University of Benin Teaching Hospital,Tuberculosis,9409,3860,July,2015,"Wednesday, July 1, 2015"
7682,Enugu,UNTH - University of Nigeria Teaching Hospital,Tuberculosis,61322,17946,July,2009,"Wednesday, July 1, 2009"
7683,Lagos,LASUTH - Lagos State University Teaching Hospital,Cholera,59886,11580,July,2011,"Friday, July 1, 2011"
7684,Lagos,LASUTH - Lagos State University Teaching Hospital,Typhoid,9687,3253,July,2001,"Sunday, July 1, 2001"
7685,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Malaria,54040,20197,February,2014,"Saturday, February 1, 2014"
7686,Anambra,NAUTH - Nnamdi Azikiwe University Teaching Hospital,Typhoid,68003,8711,May,2011,"Sunday, May 1, 2011"
7687,Enugu,UNTH - University of Nigeria Teaching Hospital,Cholera,55959,18767,February,2010,"Monday, February 1, 2010"
7688,Imo,FMC Owerri - Federal Medical Centre,Lassa Fever,12321,5519,September,2012,"Saturday, September 1, 2012"
7689,Ekiti,EKSUTH - Ekiti State University Teaching Hospital,Typhoid,72158,11757,May,2018,"Tuesday, May 1, 2018"
7690,Plateau,JUTH - Jos University Teaching Hospital,Tuberculosis,6474,343,August,2007,"Wednesday, August 1, 2007"
7691,Nasarawa,FMC Keffi - Federal Medical Centre,Typhoid,17640,7942,September,2018,"Saturday, September 1, 2018"
7692,Sokoto,UDUTH - Usmanu Danfodiyo University Teaching Hospital,Lassa Fever,43944,1788,October,2005,"Saturday, October 1, 2005"
7693,Enugu,UNTH - University of Nigeria Teaching Hospital,Tuberculosis,58916,9476,December,2008,"Monday, December 1, 2008"
7694,Imo,FMC Owerri - Federal Medical Centre,Measles,37223,3343,October,2023,"Sunday, October 1, 2023"
7695,Enugu,UNTH - University of Nigeria Teaching Hospital,Lassa Fever,66294,16861,August,2013,"Thursday, August 1, 2013"
7696,Lagos,LASUTH - Lagos State University Teaching Hospital,Lassa Fever,53224,4099,December,2018,"Saturday, December 1, 2018"
